Word,Conc.M,Dom_Pos
bladed,3.71,Adjective
crimping,3.71,Adjective
glassy,3.71,Adjective
nondrinking,3.71,Adjective
potted,3.71,Adjective
shaven,3.71,Adjective
slinky,3.71,Adjective
swampy,3.71,Adjective
testicular,3.71,Adjective
uninhabited,3.71,Adjective
wingless,3.71,Adjective
alpine,3.7,Adjective
blurry,3.7,Adjective
gummy,3.7,Adjective
mitochondrial,3.7,Adjective
obese,3.7,Adjective
overripe,3.7,Adjective
slushy,3.7,Adjective
stubby,3.7,Adjective
tattered,3.7,Adjective
caped,3.69,Adjective
chunky,3.69,Adjective
crisp,3.69,Adjective
drier,3.69,Adjective
fungal,3.69,Adjective
marbled,3.69,Adjective
scabby,3.69,Adjective
semisolid,3.69,Adjective
sunless,3.69,Adjective
canned,3.68,Adjective
elderly,3.68,Adjective
fainter,3.68,Adjective
fizzy,3.68,Adjective
floury,3.68,Adjective
humanoid,3.68,Adjective
potbellied,3.68,Adjective
tangy,3.68,Adjective
winged,3.68,Adjective
bony,3.67,Adjective
breathless,3.67,Adjective
calligraphic,3.67,Adjective
checkered,3.67,Adjective
flowering,3.67,Adjective
little,3.67,Adjective
luminescent,3.67,Adjective
mountainous,3.67,Adjective
roasted,3.67,Adjective
silent,3.67,Adjective
skeletal,3.67,Adjective
weedy,3.67,Adjective
big,3.66,Adjective
handicapped,3.66,Adjective
hydraulic,3.66,Adjective
peppery,3.66,Adjective
unsweetened,3.66,Adjective
vaginal,3.66,Adjective
mossy,3.65,Adjective
neonatal,3.65,Adjective
offshore,3.65,Adjective
amphibious,3.64,Adjective
counterfeit,3.64,Adjective
deformed,3.64,Adjective
fetal,3.64,Adjective
gooey,3.64,Adjective
hornless,3.64,Adjective
indoor,3.64,Adjective
lukewarm,3.64,Adjective
malleable,3.64,Adjective
nonmetallic,3.64,Adjective
squishy,3.64,Adjective
terrorist,3.64,Adjective
trapezoidal,3.64,Adjective
wounded,3.64,Adjective
adjacent,3.63,Adjective
ambidextrous,3.63,Adjective
charred,3.63,Adjective
clumpy,3.63,Adjective
digital,3.63,Adjective
dingy,3.63,Adjective
mammary,3.63,Adjective
prepackaged,3.63,Adjective
sickbed,3.63,Adjective
steamy,3.63,Adjective
televised,3.63,Adjective
throbbing,3.63,Adjective
bagful,3.62,Adjective
comatose,3.62,Adjective
creamy,3.62,Adjective
dwarfish,3.62,Adjective
facial,3.62,Adjective
feathery,3.62,Adjective
flaccid,3.62,Adjective
onshore,3.62,Adjective
opaque,3.62,Adjective
